Информационная безопасность автоматизированных систем,10.05.03,,
Информационная безопасность телекоммуникационных систем,10.05.02,,
Информационно-аналитические системы безопасности,10.05.04,,
Компьютерная безопасность,10.05.01,,
Гостиничное дело,43.03.03,"Выпускники направления работают менеджерами младшего и среднего звена в гостиницах, отелях, курортных комплексах, туристических компаниях. Могут выполнять обязанности руководителей служб размещения, бронирования, сервиса, ресторанного обслуживания, клининга и т.п. Составляют перспективные планы развития гостиничного бизнеса, следят за логистикой в отелях. Управляют персоналом службы или отдела, занимаются изучением спроса на те или иные виды услуг.","Гостиничное хозяйство – динамично развивающаяся отрасль. Ежегодно в столице и других городах открываются десятки новых отелей различной звездности и вместимости. Рынку нужны управляющие гостиниц (заработная плата от 40 тысяч рублей), руководители служб (от 30 тысяч рублей), помощники руководителей, метрдотели и др. Карьеру можно делать как по вертикали (от работника ресепшна до управляющего), так и по горизонтали (с возрастанием компетенции переходить в более престижные гостиницы). Знание иностранных языков (европейских или восточных) повышает шансы на успешное трудоустройство."
Сервис,43.03.01,"Задача специалиста — обеспечить максимально качественное выполнение услуг в той сфере, в которой он работает. Чаще всего выпускники направления занимают должность менеджера по работе с клиентами, хотя в штатном расписании эта позиция может называться иначе. Сервисмены планируют деятельность предприятия из сферы услуг, формируют и поддерживают клиентскую базу, продумывают специальные мероприятия по привлечению новых посетителей и потребителей. Проводят проверки качества оказываемых компанией услуг.","Стартовая должность для недавних выпускников — администратор на предприятиях сервиса различных видов. Например, в автосервисах, салонах красоты, ресторанах, службах быта и т.п. Начальная заработная плата для специалистов с небольшим опытом работы 25 тысяч рублей в месяц. Наиболее часто вакансия встречается в салонах, предоставляющих косметологические и парикмахерские услуги, фотомастерских, кафе и других предприятиях общественного питания. Возможный карьерный рост — управляющий заведением, специалист по общественным связям, специалист по работе с корпоративными и ключевыми клиентами."
Товароведение,38.03.07,"Товароведы работают в штате магазинов, оптовых фирмах, торгующих продовольственными и непродовольственными товарами, экспертных организациях. Они занимаются приемкой товара, логистикой, размещением его на складах. Следят за соответствием качества вновь приобретенных продуктов, за соблюдением норм перевозки и хранения товаров. При необходимости производят экспертизы качества, контактируют со специализированными экспертными организациями. Отвечают на декламации поставщиков и потребителей товаров.","Товаровед — достаточно распространенная вакансия. Чаще всего специалисты требуются в крупные сетевые универсальные магазины, супермаркеты, моллы. Востребованы товароведы и в магазинах, торгующих бытовой техникой. Начинающий может рассчитывать на место товароведа в небольшом магазине или помощника этого специалиста в магазине крупном. Возможный вариант развития карьеры — рост до позиции управляющего магазином или директора по продажам/закупкам."
Торговое дело,38.03.06,"Менеджер в торговле занимается процессом налаживания бизнеса в магазине или сети. Контролирует закупки. Занимается логистикой и складами. Принимает участие в решение кадровых и организационных вопросов. Заказывает и курирует маркетинговые исследования. Следит за различными службами и подразделениями магазина. Ведует вопросами материально-технического снабжения компании.","Недавние выпускники направления претендуют на позиции администратора торгового зала, старшего продавца, менеджера по закупкам или продажам. Начальная заработная плата на этих должностях в Москве — 25 тысяч рублей. Активные и целеустремленные люди в торговле карьеру делают достаточно быстро. Возможные позиции — маркетолог, управляющий магазином, директор по логистике, директор по продажам, коммерческий директор. Средний по столице оклад на этом уровне — 50–60 и более тысяч рублей в месяц."
Туризм,43.03.02,"Профессиональная сфера — вся совокупность процедур по обеспечению туристической поездки клиента. Работа выпускника направления «Туризм» связана с консультированием клиентов и продажей услуг компании, мониторингом рынка туристических услуг и компаний, занимающихся перевозками пассажиров, взаимодействием со страховыми компаниями и паспортно-визовыми службами. Туристические фирмы и ассоциации туроператоров — вот основные работодатели менеджеров по туризму.","Безработным выпускник данного направления не останется точно — количество турагентств в России увеличивается ежегодно. Однако новичку в крупной туристической компании с карьерным ростом придется туго — повышения придется ждать не один год. В небольших компаниях продвижения по службе можно ожидать намного быстрее. Помощник менеджера может рассчитывать на 10 тысяч рублей, специалист по бронированию билетов получит месячную зарплату в размере 20 тысяч рублей. Специалист, проработавший в сфере формирования пакетов услуг и разработки направлений, зарабатывает в месяц около 30 тысяч рублей, руководитель направления — 40–45 тысяч."
Биоинженерия и биоинформатика,06.05.01,,
Биология,06.03.01,"Биологи работают в научно-исследовательских институтах, лабораториях, учебных и исследовательских центрах, преподают в средних и высших учебных заведениях. В зависимости от профиля подготовки и выбранной профессиональной специализации занимаются исследованиями и наблюдениями за различными биологическими системами, классифицируют происходящие процессы. Проводят научные эксперименты от разработки плана исследования до подведения итогов. Участвуют в профессиональных конференциях и симпозиумах.","Биологи-бакалавры могут работать на начальных позициях в НИИ, выступая в качестве младших научных сотрудников, быть лаборантами в различных диагностических и исследовательских центрах, наблюдателями в заповедниках и заказниках. Заработная плата специалиста этого уровня – от 15 тысяч в госструктурах, до 25 – в коммерческих организациях. Для дальнейшего построения карьеры в научной среде необходимо образование следующих ступеней: магистратура и аспирантура."
География,05.03.02,"Выпускники работают в природных, экологических, производственных, социальных, рекреационных, общественных организациях. Могут выступать в качестве ученых-исследователей, педагогов, консультантов по различным областям географии (в зависимости от профиля и дальнейшей специализации). Служат в заповедниках и природных национальных парках, на метеорологических и сейсмологических станциях. Довольно часто географы работают в туристических компаниях и фирмах, в том числе добиваясь немалых карьерных высот.","Для географа есть три основных пути построения карьеры. Во-первых, научный. В этом случае бакалавры продолжают образование и впоследствии становятся учеными и исследователями. Второй –- педагогический. Третий – уйти в прикладную сферу (например, геодезию, разведку полезных ископаемых, туризм, метеорологию, экономический консалтинг и др.). Сотрудники вузов и НИИ зарабатывают в среднем 20–40 тысяч рублей. Прикладные специалисты – в зависимости от отрасли и должности."
Геология,05.03.01,"Геологи-практики работают в геологоразведочных и добывающих компаниях. Занимаются поиском, разведкой и добычей минерального сырья, мониторингом окружающей среды и решением экологических задач. Теоретики ведут научные изыскания в различных НИИ, выступают в качестве контролирующего звена в подведомственных организациях Министерства природных ресурсов и экологии РФ, Министерства энергетики РФ, Министерства по чрезвычайным ситуациям, Госстроя России.","Бакалавров принимают на работу в качестве рядовых геологов в геологоразведочные компании. В зависимости от заказчика разработки (государственная структура или частный бизнес) труд геолога может «стоить» от 20 до 50 тысяч рублей в месяц. Первой ступени высшего образования достаточно для того, чтобы работать лаборантами, техниками, младшими научными сотрудниками. Приглашаются российские геологи в качестве квалифицированных специалистов и экспертов на контрактную работу в зарубежные страны."
Гидрометеорология,05.03.04,"Гидрометеорологи изучают атмосферу и гидросферу, их взаимодействие друг с другом, происходящие в них процессы. Участвуют в комплексных исследованиях вод суши, Мирового океана и атмосферы. Выезжают в экспедиции, в том числе долгосрочные. Работают на гидрометеорологических станциях в качестве исследователей-наблюдателей и технических работников. Занимают позиции лаборантов и операторов в гидрохимических лабораториях и специализированных вычислительных центрах.","Сотрудникам гидрометеорологических станций и бюро рассчитывать на большую зарплату не приходится: доход рядового техника или исследователя редко превышает 15–20 тысяч рублей. Выше заработки у сотрудников химических лабораторий, в том числе частных (от 25 тысяч рублей). Исследователям мировых вод помогают держаться на плаву гранты, в том числе международные. Иногда, чтобы найти работу, приходиться переезжать: большинство профильных научных центров и лабораторий сосредоточено вблизи морей и океанов."
Картография и геоинформатика,05.03.03,"Специалист по картографии собирает, систематизирует и обрабатывает пространственную информацию на различных уровнях. Занимается картографической интерпретацией результатов съемок местности и материалов дистанционного зондирования Земли. Составляет тематические оценочные и прогнозные карты. Специалистов-картографов привлекают для создание кадастровых карт и картографическом обеспечении земельного, водного, городского и др. видов отраслевых и комплексного кадастров.","Геоинформатики и картографы востребованы как в частных стркутурах, так и в государственных компаниях. В первом случаи, специалисты требуются при строительстве и проектировании, для разработки спутниковых систем и карт на их основе. Во втором – для работ по составлению земельного, водного и других видов кадастра. В зависимости от сферы, опыта и квалификации заработная плата может варьироваться от 15 до 40 тысяч рублей в месяц."
Почвоведение,06.03.02,"Основной объект заботы почвоведов — почвенный покров Земли. В зависимости от выбранной специализации, выпускники могут заниматься ландшафтами, составом почв, управлением земельными ресурсами. Они участвуют в целевых полевых экспедициях по изучению почвенного покрова. На различных уровнях занимаются мелиорацией и рекультивацией почв. Трудятся в научных почвенных, агрохимических и других лабораториях, в вычислительных центрах при профильных НИИ.","С момента выделения почвоведения в отдельную науку (середина ХХ века) профессия почвоведа считалась редкой. И до сих пор в год вузы выпускают всего несколько десятков специалистов по всей России. При этом популярность профессии растет. Специалисты требуются в кадастровые организации, различные экологические структуры, на предприятия сельскохозяйственного комплекса и т.п. Средняя зарплата почвоведа-практика 20 тысяч рублей. Управляющие земельными ресурсами могут рассчитывать на 30 и более тысяч."
Фундаментальная и прикладная химия,04.05.01,,
Химия,04.03.01,"Ученые-химики участвуют в исследованиях химических процессов, выявляя общие закономерности их протекания и возможности управления ими. В прикладной сфере могут работать на химических производствах, в фармацевтике, косметической промышленности. На производстве химики курируют процессы синтеза веществ. Следят за качеством получаемых продуктов. Проводят испытания, в том числе сертификационные.","Выпускники направления работают в научно-исследовательских институтах и проектных организациях, на промышленных предприятиях. Одна из самых востребованных в современной российской науке отраслей — нанохимия. Перспективны для научной карьеры околомедицинские, фармацевтические профили. Средняя зарплата ученого-химика - 20–25 тысяч рублей. Изучение в большинстве вузов педагогики и психологии позволяет химикам работать в школах, колледжах и институтах."
Химия, физика и механика материалов,04.03.02,"Выпускники направления работают в научно-исследовательских центрах и на производстве. Их основная задача – изучение свойств и разработка технологии производства различных материалов, в том числе сверхпроводящих и магнитных, новых поколений супериоников, полупроводников, полимеров и биосистем. Специалисты по материалам могут использовать свои знания в сферах электроники, фотоники, сенсорики, информационной технологии, здравоохранения и экологии.","Современные химические технологии используются практически во всех сферах жизни. Начиная от легкой промышленности и заканчивая медициной. Химики-технологи востребованы на фабриках и заводах различных отраслей, но наибольший шанс на успешную карьеру имеют специалисты, выбравшие в качестве специализации электронику и фармацевтику. Недавний выпускник может рассчитывать на должность младшего технолога и оклад в 20 тысяч рублей. Опытные специалисты зарабатывают в среднем 40–50 тысяч."
Экология и природопользование,05.03.06,"В зависимости от места работы и должности специалисты по экологии и природопользованию проводят экологическую экспертизу и мониторинг. Создают и ведут экологические базы данных. Формируют экологическую политику предприятия. Готовят программы и планы мероприятий по выполнению природоохранного законодательства. Составляют экологические отчеты, разрабатывают проекты нормативов ПДВ, ПДС (НДС), ПНООЛР. Выполняют расчеты ожидаемых уровней шума на прилегающих территориях и в нормируемых помещениях. Внедряют и поддерживают систему внутреннего экологического аудита, систему управления в области охраны окружающей среды.","Специалисты — экологи востребованы на промышленных предприятиях различных отраслей, особенно, на производстве, предполагающем те или иные выбросы в атмосферу. Новомодное направление работы — внутренний экологический аудит предприятия — позволяет предотвращать проблемы с государственными органами и общественными организациям. Уровень зарплат таких «аудиторов» - 30–40 тысяч рублей в месяц. Начинающие специалисты могут работать в лабораториях, экспертных группах, экологических организациях и др."
Астрономия,03.05.01,,
Математика,01.03.01,"Математика — универсальная специальность, выпускникам которой открыта дорога сразу в несколько профессий. Они могут заниматься научно-исследовательской работой в областях, использующих математические методы и компьютерные технологии. Разрабатывать эффективные методы решения задач естествознания, техники, экономики и управления. Работать программистами, системными аналитиками и бизнес-аналитиками. Преподавать цикл математических дисциплин (в том числе информатику) в школах и вузах.","Стартовая зарплата программиста 25 тысяч рублей. Системные и бизнес-аналитики могут рассчитывать на 40 тысяч и более. Преподаватели вузов и школ — на 25 тысяч и более. Все эти профессии высоко востребованы на рынке труда. Дополнительный плюс — российские работодатели любят математиков. Традиционно эта специальность считается престижной. Поэтому, выпускники серьезных вузов работу находят играючи. Большинство бакалавров продолжают обучение и поступают в магистратуру."
Математика и компьютерные науки,02.03.01,"Бакалавры могут работать в компьютерных лабораториях, интернет-компаниях, в аналитических и IT-департаментах банков. Выполнять функции системных аналитиков, проектировщиков баз данных, бизнес-аналитиков. Заниматься развитием и модернизацией всевозможных компьютерных систем. Вариант профессионального развития — научная карьера. Отрасль активно развивается, постоянно появляются новые разработки, которые становятся возможными, в том числе благодаря деятельности ученых этой сферы.","Строить карьеру можно как в России, так и за границей. Русские математики и IT-специалисты востребованы зарубежными исследовательскими и образовательными структурами, как европейскими и американскими, так и стран третьего мира (Индия, Китай). Выбравшие в качестве основного прикладное направление, в начале пути могут рассчитывать на должности программиста или младшего аналитика (заработная плата от 20–25 тысяч рублей). Среди возможных сфер дальнейшей специализации — информационная безопасность, построение бизнес-систем, аналитика; отрасли популярные и, соответственно, хорошо оплачиваемые."
Математическое обеспечение и администрирование информационных систем,02.03.03,"Выпускники направления — программисты с расширенным функционалом. Им по силам не только написать компьютерную программу, но и провести полный анализ необходимости появления того или иного продукта, целесообразности его применения и т.п. Они могут заниматься математическим обеспечением сетей и систем, в том числе в крупных государственных и коммерческих структурах. Занимают посты бизнес-аналитиков и технических директоров.","Могут работать как в штате различных компаний, так и «на себя». Зачастую именно выпускники этой специальности отправляются в свободное плавание, открывая собственные IT-компании. Начинающие специалисты могут работать программистами, системными администраторами, наладчиками оборудования, аналитиками в составе команды. Стартовая зарплата во всех этих профессиях примерно одинаковая — 20–25 тысяч рублей в месяц. Большинство выпускников продолжают образование в магистратуре."
Механика и математическое моделирование,01.03.03,"Изначально механика и математическое моделирование – ветвь фундаментальной науки. Поэтому значительная часть выпускников посвящает себя научно-исследовательской карьере. Но и прикладное применение у направления есть. На производстве специалисты могут заниматься расчетами силовых и тепловых нагрузок на поверхности летательных аппаратов, созданием новых материалов и сплавов с эффектом памяти формы, проектированием установок для добычи и транспортировки нефти и газа и др.","Специалисты по механике и математическому моделированию требуются в научно-исследовательские институты и центры, на предприятия добывающего комплекса, в авиаконструкторские бюро. Чем выше уровень образования профессионала, тем солиднее зарплата. Поэтому на бакалавриате большинство студентов не останавливаются. Стартовые ожидания механиков — 25–30 тысяч рублей. Опытные и редкие специалисты, например по новым материалам, могут рассчитывать на 50 и более тысяч."
Прикладная математика и информатика,01.03.02,"По данному направлению существует несколько специализаций — вычислительная математика, численные методы, математическое моделирование, математическое и программное обеспечение ЭВМ и др. Если обобщить, то работа выпускников вузов связана с моделированием математического обеспечения, обслуживанием и администрированием компьютерных сетей, комплексной разработкой программного обеспечения — автоматизированных и операционных систем, сервисов, баз данных.","Так как сфера информационных технологий является на сегодняшний день одной из ключевых, а по-настоящему хорошие кадры в дефиците, у способных и целеустремленных прекрасные карьерные и финансовые перспективы. Выпускники могут устроиться на работу инженерами-математиками, специалистами по математическому моделированию, разработке и внедрению информационных технологий, специалистами по информационной безопасности, системными администраторами, программистами, консультантами в области информационно-вычислительной техники - двери открыты практически во все сферы, где на первом месте стоит безупречное знание математики и вычислительной техники."
Прикладные математика и физика,03.03.01,"Специальность предоставляет выпускникам качественную и целостную междисциплинарную подготовку, поэтому дипломированные бакалавры готовы как к проекторской, так и научно-исследовательской работе. Они могут работать аналитиками, инженерами, программистами, заниматься организационно-управленческой, исследовательской, опытно-конструкторской и рядом других видов деятельности.","Практически все профессии, на которые с полным правом могут претендовать выпускники прикладного физмата, составляют перечень самых востребованных на современном рынке труда. Более того, стоит особо отметить, что в вопросе успешного трудоустройства люди, окончившие данное направление, за счет более обширной научной подготовки имеют больше преимуществ, чем выпускники направлений прикладной математики, физики или информатики. В особенности это касается инновационной научной деятельности."
Радиофизика,03.03.03,"Сфера применения талантов радиофизиков практически безгранична. Специалисты по этой науке работают в компаниях, занимающихся электроникой, оптикой, акустикой, информационными технологиями и вычислительной техникой. Занимаются фундаментальными научными исследованиями. Большинство выпускников направления продолжают образование в магистратуре, выбирая один из узких профилей подготовки. Самая распространенная из возможных специализаций — телекоммуникация, связь, передача и прием информации.","Физики сейчас на рынке труда востребованы. Теоретики требуются на предприятия, специализирующиеся на наукоемких технологиях, и в исследовательские центры. Практикующие прикладные специалисты — в компании по разработке электроники, оптики, акустических систем, робототехники и т.п. Зарплата начинающего сотрудника варьируется в пределах 15–20 тысяч рублей. Ведущие инженеры и руководители проектов могут зарабатывать 60 и более тысяч."
Физика,03.03.02,"Выпускники направления — ученые-теоретики — работают в государственных и частных научно-исследовательских организациях. Их основная задача — изучение физических явлений, проведение практических экспериментов, анализ и обобщение полученных данных. Чаще всего физики работают в составе рабочей группе и занимаются конкретной научной темой. Исследования оплачиваются государством или частным заказчиком. Обязательные качества — аналитический ум, системный подход, научная любознательность и неравнодушие.","Как правило, в научные разработки будущие ученые включаются еще будучи студентами. Курсовые и дипломные работы часто становятся основой для будущих разработок. На открытом рынке работу физики ищут редко. Большинство выпускников направления поступают в магистратуру, а затем и в аспирантуру, где продолжают свои научные изыскания. Параллельно с обучением физики могут занимать должности лаборантов в НИИ,. дипломированные бакалавры — работать младшими научными сотрудниками. Часто русских специалистов приглашают на работу за границу."
Фундаментальная информатика и информационные технологии,02.03.02,,
Конструкторско-технологическое обеспечение машиностроительных производств,15.03.05,"Выпускники направления имеют возможность строить карьеру по профессиям инженер-технолог, инженер-конструктор, мастер производственного участка, инженер-программист. Полученная в вузе квалификация позволяет заниматься проектированием технологических процессов изготовления деталей с привлечением систем автоматизированного проектирования. В зависимости от выбранного профиля могут сконцентрировать свои усилия на одной из отраслей машиностроения.","Специалисты востребованы во всех отраслях, связанных с машиностроением и эксплуатацией высокотехнологичного оборудования. Причем, специальность относится к разряду высокооплачиваемых и дефицитных. Опытные инженеры-машиностроители на крупных предприятиях, особенно энергетического и ресурсо-добывающего комплекса вправе рассчитывать на оклады в 100 и более тысяч. Начинающие специалисты также востребованы: талантливых молодых ребят «разбирают» еще со студенческой скамьи."
Материаловедение и технологии материалов,22.03.01,"В зависимости от профиля, специалисты в области материаловедения и технологии материалов решают проблемы, связанные с исследованием, разработкой и применением высокоэффективных материалов в различных отраслях промышленности. Наиболее востребованы представители этой профессии в машиностроительной, нефтедобывающей, автомобильной, авиационной, космической, оборонной, энергетической промышленности. Требуются технологи этого профиля и при разработке новых средств связи.","Наука переживает настоящий бум новых материалов. Современные технологии делают возможным то, что совсем недавно было лишь результатом бурного воображения фантастов. В связи с этим специалисты по материаловедению и технологии материалов требуются практически во все отрасли. Особенно востребованы они в автомобильной и легкой промышленности, энергетике, добывающей отрасли. Заработная плата начинающего сотрудника составляет около 30 тысяч рублей. Опытные инженеры-технологи вправе рассчитывать на 50 тысяч и более."
